 , Atlantic, Quebec , Ontario, Manitoba, Saskatchewan, Alberta, British Columbia, Territories, Canada
Race/ethnicity  total,23,118,273,17,16,92,118,9,666
Black,7,28,106,6,4,32,25,6,214
East or Southeast Asian,1,2,16,2,2,6,32,0,61
South Asian,0,4,35,0,3,6,24,0,72
Arab or West Asian,10,41,33,1,1,15,11,0,112
Aboriginal,3,1,8,2,3,8,4,1,30
White,0,11,13,1,0,4,5,2,36
Other{1},2,27,55,3,1,21,16,0,125
Race not specified,0,4,7,2,2,0,1,0,16
Religion total,9,116,242,13,6,25,47,2,460
Jewish,5,35,148,9,2,8,14,0,221
Muslim,2,41,60,1,2,13,20,0,139
Catholic,0,10,10,1,0,2,4,0,27
Other{2},2,4,18,2,0,2,7,2,37
Religion not specified,0,26,6,0,2,0,2,0,36
Sexual orientation,10,27,76,4,4,19,36,0,176
Other{3},2,51,19,2,3,1,10,0,88
Unknown,0,15,2,0,0,2,0,0,19
Total,44,327,612,36,29,139,211,11,1409
